quarter,senator,party,state,approve,disapprove,net,lean,pars_538
2019-03-31,Jones,D,Alabama,40,34,6,-29.43,33
2019-03-31,Shelby,R,Alabama,46,25,21,29.43,-6
2019-03-31,Murkowski,R,Alaska,43,36,7,18.83,-9
2019-03-31,Sullivan,R,Alaska,38,32,6,18.83,-9
2019-03-31,McSally,R,Arizona,35,35,0,8.3,-9
2019-03-31,Sinema,D,Arizona,42,29,13,-8.3,21
2019-03-31,Boozman,R,Arkansas,46,25,21,29.96,-3
2019-03-31,Cotton,R,Arkansas,48,29,19,29.96,-5
2019-03-31,Feinstein,D,California,43,35,8,26.71,-16
2019-03-31,Harris,D,California,43,29,14,26.71,-11
2019-03-31,Bennet,D,Colorado,39,28,11,2.62,9
2019-03-31,Gardner,R,Colorado,35,35,0,-2.62,1
2019-03-31,Blumenthal,D,Connecticut,46,36,10,12.57,-1
2019-03-31,Murphy,D,Connecticut,49,32,17,12.57,6
2019-03-31,Carper,D,Delaware,51,30,21,11.46,7
2019-03-31,Coons,D,Delaware,52,29,23,11.46,9
2019-03-31,Rubio,R,Florida,44,35,9,3.36,5
2019-03-31,R. Scott,R,Florida,42,35,7,3.36,2
2019-03-31,Isakson,R,Georgia,41,24,17,8.96,6
2019-03-31,Perdue,R,Georgia,47,25,22,8.96,10
2019-03-31,Hirono,D,Hawaii,47,34,13,35.09,-22
2019-03-31,Schatz,D,Hawaii,53,25,28,35.09,-8
2019-03-31,Crapo,R,Idaho,46,26,20,38.1,-15
2019-03-31,Risch,R,Idaho,43,23,20,38.1,-15
2019-03-31,Duckworth,D,Illinois,41,31,10,14.96,-2
2019-03-31,Durbin,D,Illinois,37,35,2,14.96,-10
2019-03-31,Braun,R,Indiana,40,27,13,19.76,-5
2019-03-31,Young,R,Indiana,39,25,14,19.76,-4
2019-03-31,Ernst,R,Iowa,40,37,3,7.33,-3
2019-03-31,Grassley,R,Iowa,42,39,3,7.33,-3
2019-03-31,Moran,R,Kansas,37,28,9,24.98,-13
2019-03-31,Roberts,R,Kansas,35,34,1,24.98,-23
2019-03-31,McConnell,R,Kentucky,36,50,-14,31.44,-36
2019-03-31,Paul,R,Kentucky,41,38,3,31.44,-21
2019-03-31,Cassidy,R,Louisiana,47,24,23,22.18,6
2019-03-31,Kennedy,R,Louisiana,49,23,26,22.18,8
2019-03-31,Collins,R,Maine,52,39,13,-4.58,18
2019-03-31,King,I,Maine,58,29,29,4.58,25
2019-03-31,Cardin,D,Maryland,50,22,28,24.78,5
2019-03-31,Van Hollen,D,Maryland,45,21,24,24.78,2
2019-03-31,Markey,D,Massachusetts,49,23,26,24.6,29
2019-03-31,Warren,D,Massachusetts,49,40,9,24.6,-20
2019-03-31,Peters,D,Michigan,33,23,10,0.32,9
2019-03-31,Stabenow,D,Michigan,46,33,13,0.32,12
2019-03-31,Klobuchar,D,Minnesota,58,26,32,1.04,30
2019-03-31,Smith,D,Minnesota,42,24,18,1.04,16
