state,year,democrat,republican
Alabama,1964,210732,479085
Alaska,1964,44329,22930
Arizona,1964,237753,242535
Arkansas,1964,314197,243264
California,1964,4171877,2879108
Colorado,1964,476024,296767
Connecticut,1964,826269,390996
DC,1964,169796,28801
Delaware,1964,122704,78078
Florida,1964,948540,905941
Georgia,1964,522557,616584
Hawaii,1964,163249,44022
Idaho,1964,148920,143557
Illinois,1964,2796833,1905946
Indiana,1964,1170848,911118
Iowa,1964,733030,449148
Kansas,1964,464028,386579
Kentucky,1964,669659,372977
Louisiana,1964,387068,509225
Maine,1964,262264,118701
Maryland,1964,730912,385495
Massachusetts,1964,1786422,549727
Michigan,1964,2136615,1060152
Minnesota,1964,991117,559624
Mississippi,1964,52618,356528
Missouri,1964,1164344,653535
Montana,1964,164246,113032
Nebraska,1964,307307,276847
Nevada,1964,79339,56094
New Hampshire,1964,184064,104029
New Jersey,1964,1867671,963843
New Mexico,1964,194017,131838
New York,1964,4913156,2243559
North Carolina,1964,800139,624844
North Dakota,1964,149784,108207
Ohio,1964,2498331,1470865
Oklahoma,1964,519834,412665
Oregon,1964,501017,282779
Pennsylvania,1964,3130954,1673657
Rhode Island,1964,315463,74615
South Carolina,1964,215700,309048
South Dakota,1964,163010,130108
Tennessee,1964,634947,508965
Texas,1964,1663185,958566
Utah,1964,219628,180682
Vermont,1964,108127,54942
Virginia,1964,558038,481334
Washington,1964,779881,470366
West Virginia,1964,538087,253953
Wisconsin,1964,1050424,638495
Wyoming,1964,80718,61998
Alabama,1968,196579,146923
Alaska,1968,35411,37600
Arizona,1968,170514,266721
Arkansas,1968,184901,189062
California,1968,3244318,3467664
Colorado,1968,335174,409345
Connecticut,1968,621521,556721
DC,1968,139566,31012
Delaware,1968,89194,96714
Florida,1968,676794,886804
Georgia,1968,334440,380111
Hawaii,1968,141324,91425
Idaho,1968,89273,165369
Illinois,1968,2039814,2174774
Indiana,1968,806659,1067885
Iowa,1968,476699,619106
Kansas,1968,302996,478674
Kentucky,1968,397541,462411
Louisiana,1968,309615,257535
Maine,1968,217312,169254
Maryland,1968,538310,517995
