state,year,democrat,republican
Massachusetts,1968,1469218,766844
Michigan,1968,1593082,1370665
Minnesota,1968,857738,658643
Mississippi,1968,150644,88516
Missouri,1968,791444,811932
Montana,1968,114117,138835
Nebraska,1968,170784,321163
Nevada,1968,60598,73188
New Hampshire,1968,130589,154903
New Jersey,1968,1264206,1325467
New Mexico,1968,130081,169692
New York,1968,3378470,3007932
North Carolina,1968,464113,627192
North Dakota,1968,94769,138669
Ohio,1968,1700586,1791014
Oklahoma,1968,301658,449697
Oregon,1968,358866,408433
Pennsylvania,1968,2090017,2259405
Rhode Island,1968,246518,122359
South Carolina,1968,197486,254062
South Dakota,1968,118023,149841
Tennessee,1968,351233,472592
Texas,1968,1266804,1227844
Utah,1968,156665,238728
Vermont,1968,70255,85142
Virginia,1968,442387,590319
Washington,1968,616037,588510
West Virginia,1968,374091,307555
Wisconsin,1968,748804,809997
Wyoming,1968,45173,70927
Alabama,1972,256923,728701
Alaska,1972,32967,55349
Arizona,1972,198540,402812
Arkansas,1972,198899,445751
California,1972,3475847,4602096
Colorado,1972,329980,597189
Connecticut,1972,555498,810763
DC,1972,127627,35226
Delaware,1972,92283,140357
Florida,1972,718117,1857759
Georgia,1972,289529,881496
Hawaii,1972,101409,168865
Idaho,1972,80826,199384
Illinois,1972,1913472,2788179
Indiana,1972,708568,1405154
Iowa,1972,496206,706207
Kansas,1972,270287,619812
Kentucky,1972,371159,676446
Louisiana,1972,298142,686852
Maine,1972,160584,256458
Maryland,1972,505781,829305
Massachusetts,1972,1332540,1112078
Michigan,1972,1459435,1961721
Minnesota,1972,802346,898269
Mississippi,1972,126782,505125
Missouri,1972,698531,1154058
Montana,1972,120197,183976
Nebraska,1972,169991,406298
Nevada,1972,66016,115750
New Hampshire,1972,116435,213724
New Jersey,1972,1102211,1845502
New Mexico,1972,141084,235606
New York,1972,2951084,4192778
North Carolina,1972,438705,1054889
North Dakota,1972,100384,174109
Ohio,1972,1558889,2441827
Oklahoma,1972,247147,759025
Oregon,1972,392760,486686
Pennsylvania,1972,1796951,2714521
Rhode Island,1972,194645,220383
South Carolina,1972,189270,478427
South Dakota,1972,139945,166476
Tennessee,1972,357293,813147
Texas,1972,1154291,2298896
Utah,1972,126284,323643
Vermont,1972,68174,117149
Virginia,1972,438887,988493
Washington,1972,568334,837135
West Virginia,1972,277435,484964
Wisconsin,1972,810174,989430
Wyoming,1972,44358,100464
Alabama,1976,659170,504070
Alaska,1976,44058,71555
Arizona,1976,295602,418642
Arkansas,1976,499614,268753
California,1976,3742284,3882244
Colorado,1976,460353,584367
Connecticut,1976,647895,719261
DC,1976,137818,27873
Delaware,1976,122596,109831
Florida,1976,1636000,1469531
Georgia,1976,979409,483743
Hawaii,1976,147375,140003
Idaho,1976,126549,204151
Illinois,1976,2271295,2364269
Indiana,1976,1014714,1183958
Iowa,1976,619931,632863
Kansas,1976,430421,502752
Kentucky,1976,615717,531852
Louisiana,1976,661365,587446
Maine,1976,232279,236320
Maryland,1976,759612,672661
Massachusetts,1976,1429475,1030276
Michigan,1976,1696714,1893742
Minnesota,1976,1070440,819395
Mississippi,1976,381309,366846
Missouri,1976,998387,927443
Montana,1976,149259,173703
Nebraska,1976,233692,359705
Nevada,1976,92479,101273
New Hampshire,1976,147635,185935
New Jersey,1976,1444653,1509688
New Mexico,1976,201148,211419
New York,1976,3389558,3100791
North Carolina,1976,927365,741960
North Dakota,1976,136078,153470
Ohio,1976,2011621,2000505
Oklahoma,1976,532442,545708
Oregon,1976,490407,492120
Pennsylvania,1976,2328677,2205604
Rhode Island,1976,227636,181249
South Carolina,1976,450825,346140
South Dakota,1976,147068,151505
Tennessee,1976,825879,633969
Texas,1976,2082319,1953300
Utah,1976,182110,337908
Vermont,1976,81044,102085
Virginia,1976,813896,836554
Washington,1976,717323,777732
West Virginia,1976,435914,314760
Wisconsin,1976,1040232,1004987
Wyoming,1976,62239,92717
Alabama,1980,636730,654192
Alaska,1980,41842,86112
Arizona,1980,246843,529688
Arkansas,1980,398041,403164
California,1980,3083661,4524858
Colorado,1980,367973,652264
Connecticut,1980,541732,677210
DC,1980,130231,23313
Delaware,1980,105754,111252
Florida,1980,1419475,2046951
Georgia,1980,890733,654168
Hawaii,1980,135879,130112
Idaho,1980,110192,290699
Illinois,1980,1981413,2358049
Indiana,1980,844197,1255656
Iowa,1980,508672,676026
Kansas,1980,326150,566812
Kentucky,1980,616417,635274
Louisiana,1980,708453,792853
Maine,1980,220974,238522
Maryland,1980,726161,680606
Massachusetts,1980,1053802,1057631
Michigan,1980,1661532,1915225
Minnesota,1980,954174,873241
Mississippi,1980,429281,441089
Missouri,1980,931182,1074181
Montana,1980,118032,206814
Nebraska,1980,166851,419937
Nevada,1980,66666,155017
New Hampshire,1980,108864,221705
New Jersey,1980,1147364,1546557
New Mexico,1980,167826,250779
New York,1980,2728372,2893831
North Carolina,1980,875635,915018
North Dakota,1980,79189,193695
Ohio,1980,1752414,2206545
Oklahoma,1980,402026,695570
Oregon,1980,456890,571044
Pennsylvania,1980,1937540,2261872
Rhode Island,1980,198342,154793
South Carolina,1980,427560,441207
South Dakota,1980,103855,198343
Tennessee,1980,783051,787761
Texas,1980,1881147,2510705
Utah,1980,124266,439687
Vermont,1980,81891,94598
Virginia,1980,752174,989609
Washington,1980,650193,865244
West Virginia,1980,367462,334206
Wisconsin,1980,981584,1088845
Wyoming,1980,49427,110700
Alabama,1984,551899,872849
Alaska,1984,62007,138377
Arizona,1984,333854,681416
Arkansas,1984,338646,534774
California,1984,3922519,5467009
Colorado,1984,454974,821818
Connecticut,1984,569597,890877
DC,1984,180408,29009
Delaware,1984,101656,152190
Florida,1984,1448816,2730350
Georgia,1984,706628,1068722
Hawaii,1984,147154,185050
Idaho,1984,108510,297523
Illinois,1984,2086499,2707103
Indiana,1984,841481,1377230
Iowa,1984,605620,703088
Kansas,1984,333149,677296
Kentucky,1984,539589,822782
Louisiana,1984,651586,1037299
Maine,1984,214515,336500
Maryland,1984,787935,879918
Massachusetts,1984,1239606,1310936
Michigan,1984,1529638,2251571
Minnesota,1984,1036364,1032603
Mississippi,1984,352192,581477
Missouri,1984,848583,1274188
Montana,1984,146742,232450
Nebraska,1984,187866,460054
Nevada,1984,91655,188770
New Hampshire,1984,120395,267051
New Jersey,1984,1261323,1933630
New Mexico,1984,201769,307101
New York,1984,3119609,3664763
North Carolina,1984,824287,1346481
North Dakota,1984,104429,200336
Ohio,1984,1825440,2678560
Oklahoma,1984,385080,861530
Oregon,1984,536479,685700
Pennsylvania,1984,2228131,2584323
Rhode Island,1984,197106,212080
South Carolina,1984,344470,615539
South Dakota,1984,116113,200267
Tennessee,1984,711714,990212
Texas,1984,1949276,3433428
Utah,1984,155369,469105
Vermont,1984,95730,135865
Virginia,1984,796250,1337078
Washington,1984,807352,1051670
West Virginia,1984,328125,405483
Wisconsin,1984,995847,1198800
Wyoming,1984,53370,133241
Alabama,1988,549506,815576
Alaska,1988,72584,119251
Arizona,1988,454029,702541
Arkansas,1988,349237,466578
California,1988,4470233,5054917
Colorado,1988,621453,728177
Connecticut,1988,676584,750241
DC,1988,159407,27590
Delaware,1988,108647,139639
Florida,1988,1656701,2618885
Georgia,1988,714792,1081331
Hawaii,1988,192364,158625
Idaho,1988,147272,253881
Illinois,1988,2215940,2310939
Indiana,1988,860643,1297763
Iowa,1988,670557,545355
Kansas,1988,422636,554049
Kentucky,1988,580368,734281
Louisiana,1988,717460,883702
Maine,1988,243569,307131
Maryland,1988,826304,876167
Massachusetts,1988,1401406,1194644
Michigan,1988,1675783,1965486
Minnesota,1988,1109471,962337
Mississippi,1988,363921,557890
Missouri,1988,1001619,1084953
Montana,1988,168936,190412
Nebraska,1988,259646,398447
Nevada,1988,132738,206040
New Hampshire,1988,163696,281537
New Jersey,1988,1320352,1743192
New Mexico,1988,244497,270341
New York,1988,3347882,3081871
North Carolina,1988,890167,1237258
North Dakota,1988,127739,166559
Ohio,1988,1939629,2416549
Oklahoma,1988,483423,678367
Oregon,1988,616206,560126
Pennsylvania,1988,2194944,2300087
Rhode Island,1988,225123,177761
South Carolina,1988,370554,606443
South Dakota,1988,145560,165415
Tennessee,1988,679794,947233
Texas,1988,2352748,3036829
Utah,1988,207343,428442
Vermont,1988,115775,124331
Virginia,1988,859799,1309162
Washington,1988,933516,903835
West Virginia,1988,341016,310065
Wisconsin,1988,1126794,1047499
Wyoming,1988,67113,106867
Alabama,1992,690080,804283
Alaska,1992,78294,102000
Arizona,1992,543050,572086
Arkansas,1992,505823,337324
California,1992,5121325,3630574
Colorado,1992,629681,562850
Connecticut,1992,682318,578313
DC,1992,192619,20698
Delaware,1992,126054,102313
Florida,1992,2072698,2173310
Georgia,1992,1008966,995252
Hawaii,1992,179310,136822
Idaho,1992,137013,202645
Illinois,1992,2453350,1734096
Indiana,1992,848420,989375
Iowa,1992,586353,504891
Kansas,1992,390434,449951
Kentucky,1992,665104,617178
Louisiana,1992,815971,733386
Maine,1992,263420,206504
Maryland,1992,988571,707094
Massachusetts,1992,1318662,805049
Michigan,1992,1871182,1554940
Minnesota,1992,1020997,747841
Mississippi,1992,400258,487793
Missouri,1992,1053873,811159
Montana,1992,154507,144207
Nebraska,1992,217344,344346
Nevada,1992,189148,175828
New Hampshire,1992,209040,202484
New Jersey,1992,1436206,1356865
New Mexico,1992,261617,212824
New York,1992,3444450,2346649
North Carolina,1992,1114042,1134661
North Dakota,1992,99168,136244
Ohio,1992,1984942,1894310
Oklahoma,1992,473066,592929
Oregon,1992,621314,475757
Pennsylvania,1992,2239164,1791841
Rhode Island,1992,213299,131601
South Carolina,1992,479514,577507
South Dakota,1992,124888,136718
Tennessee,1992,933521,841300
Texas,1992,2281815,2496071
Utah,1992,183429,322632
Vermont,1992,133592,88122
Virginia,1992,1038650,1150517
Washington,1992,993037,731234
West Virginia,1992,331001,241974
Wisconsin,1992,1041066,930855
Wyoming,1992,68160,79347
Alabama,1996,662165,769044
Alaska,1996,80380,122746
Arizona,1996,653288,622073
Arkansas,1996,475171,325416
California,1996,5119835,3828380
Colorado,1996,671152,691848
Connecticut,1996,735740,483109
DC,1996,158220,17339
Delaware,1996,140355,99062
Florida,1996,2546870,2244536
Georgia,1996,1053849,1080843
Hawaii,1996,205012,113943
Idaho,1996,165443,256595
Illinois,1996,2341744,1587021
Indiana,1996,887424,1006693
Iowa,1996,620258,492644
Kansas,1996,387659,583245
Kentucky,1996,636614,623283
Louisiana,1996,927837,712586
Maine,1996,312788,186378
Maryland,1996,966207,681530
Massachusetts,1996,1571763,718107
Michigan,1996,1989653,1481212
Minnesota,1996,1120438,766476
Mississippi,1996,394022,439838
Missouri,1996,1025935,890016
Montana,1996,167922,179652
Nebraska,1996,236761,363467
Nevada,1996,203974,199244
New Hampshire,1996,246214,196532
New Jersey,1996,1652329,1103078
New Mexico,1996,273495,232751
New York,1996,3756177,1933492
North Carolina,1996,1107849,1225938
North Dakota,1996,106905,125050
Ohio,1996,2148222,1859883
Oklahoma,1996,488105,582315
Oregon,1996,649641,538152
Pennsylvania,1996,2215819,1801169
Rhode Island,1996,233050,104683
South Carolina,1996,504051,573458
South Dakota,1996,139333,150543
Tennessee,1996,909146,863350
Texas,1996,2459683,2736167
Utah,1996,221633,361911
Vermont,1996,137894,80352
Virginia,1996,1091060,1138350
Washington,1996,1123323,840712
West Virginia,1996,327812,233946
Wisconsin,1996,1071971,845029
Wyoming,1996,77934,105388
Alabama,2000,695602,944409
Alaska,2000,79004,167398
Arizona,2000,685341,781652
Arkansas,2000,422768,472940
California,2000,5861203,4567429
Colorado,2000,738227,883745
Connecticut,2000,816015,561094
DC,2000,171923,18073
Delaware,2000,180068,137288
Florida,2000,2912253,2912790
Georgia,2000,1116230,1419720
Hawaii,2000,205286,137845
Idaho,2000,138637,336937
Illinois,2000,2589026,2019421
Indiana,2000,901980,1245836
Iowa,2000,638517,634373
Kansas,2000,399276,622332
Kentucky,2000,638898,872492
Louisiana,2000,792344,927871
Maine,2000,319951,286616
Maryland,2000,1145782,813797
Massachusetts,2000,1616487,878502
Michigan,2000,2170418,1953139
Minnesota,2000,1168266,1109659
Mississippi,2000,404964,573230
Missouri,2000,1111138,1189924
Montana,2000,137126,240178
Nebraska,2000,231780,433862
Nevada,2000,279978,301575
New Hampshire,2000,266348,273559
New Jersey,2000,1788850,1284173
New Mexico,2000,286783,286417
New York,2000,4113791,2405676
North Carolina,2000,1257692,1631163
North Dakota,2000,95284,174852
Ohio,2000,2186190,2351209
Oklahoma,2000,474276,744337
Oregon,2000,720342,713577
Pennsylvania,2000,2485967,2281127
Rhode Island,2000,249508,130555
South Carolina,2000,566039,786426
South Dakota,2000,118804,190700
Tennessee,2000,981720,1061949
Texas,2000,2433746,3799639
Utah,2000,203053,515096
Vermont,2000,149022,119775
Virginia,2000,1217290,1437490
Washington,2000,1247652,1108864
West Virginia,2000,295497,336475
Wisconsin,2000,1242987,1237279
Wyoming,2000,60481,147947
Alabama,2004,693933,1176394
Alaska,2004,111025,190889
Arizona,2004,893524,1104294
Arkansas,2004,469953,572898
California,2004,6745485,5509826
Colorado,2004,1001725,1101256
Connecticut,2004,857488,693826
DC,2004,202970,21256
Delaware,2004,200152,171660
Florida,2004,3583544,3964522
Georgia,2004,1366149,1914254
Hawaii,2004,231708,194191
Idaho,2004,181098,409235
Illinois,2004,2891550,2345946
Indiana,2004,969011,1479438
Iowa,2004,741898,751957
Kansas,2004,434993,736456
Kentucky,2004,712733,1069439
Louisiana,2004,820299,1102169
Maine,2004,396842,330201
Maryland,2004,1334493,1024703
Massachusetts,2004,1803800,1071109
Michigan,2004,2479183,2313746
Minnesota,2004,1445014,1346695
Mississippi,2004,458094,684981
Missouri,2004,1259171,1455713
Montana,2004,173710,266063
Nebraska,2004,254328,512814
Nevada,2004,397190,418690
New Hampshire,2004,340511,331237
New Jersey,2004,1911430,1670003
New Mexico,2004,370942,376930
New York,2004,4314280,2962567
North Carolina,2004,1525849,1961166
North Dakota,2004,111052,196651
Ohio,2004,2741167,2859768
Oklahoma,2004,503966,959792
Oregon,2004,943163,866831
Pennsylvania,2004,2938095,2793847
Rhode Island,2004,259760,169046
South Carolina,2004,661699,937974
South Dakota,2004,149244,232584
Tennessee,2004,1035160,1383336
Texas,2004,2832704,4526917
Utah,2004,241199,663742
Vermont,2004,184067,121180
Virginia,2004,1454742,1716959
Washington,2004,1510201,1304894
West Virginia,2004,326541,423778
Wisconsin,2004,1489504,1478120
Wyoming,2004,70776,167629
Alabama,2008,813479,1266546
Alaska,2008,123594,193841
Arizona,2008,1034707,1230111
Arkansas,2008,422310,638017
California,2008,8274473,5011781
Colorado,2008,1288633,1073629
Connecticut,2008,997773,629428
DC,2008,245800,17367
Delaware,2008,255459,152374
Florida,2008,4282367,4046219
Georgia,2008,1844123,2048759
Hawaii,2008,325871,120566
Idaho,2008,236440,403012
Illinois,2008,3419348,2031179
Indiana,2008,1374039,1345648
Iowa,2008,828940,682379
Kansas,2008,514765,699655
Kentucky,2008,751985,1048462
Louisiana,2008,782989,1148275
Maine,2008,421923,295273
Maryland,2008,1629467,959862
Massachusetts,2008,1904098,1108854
Michigan,2008,2872579,2048639
Minnesota,2008,1573354,1275409
Mississippi,2008,554662,724597
Missouri,2008,1441911,1445814
Montana,2008,232159,243882
Nebraska,2008,333319,452979
Nevada,2008,533736,412827
New Hampshire,2008,384826,316534
New Jersey,2008,2215422,1613207
New Mexico,2008,472422,346832
New York,2008,4804945,2752771
North Carolina,2008,2142651,2128474
North Dakota,2008,141403,168887
Ohio,2008,2940044,2677820
Oklahoma,2008,502496,960165
Oregon,2008,1037291,738475
Pennsylvania,2008,3276363,2655885
Rhode Island,2008,296571,165391
South Carolina,2008,862449,1034896
South Dakota,2008,170924,203054
Tennessee,2008,1087437,1479178
Texas,2008,3528633,4479328
Utah,2008,327670,596030
Vermont,2008,219262,98974
Virginia,2008,1959532,1725005
Washington,2008,1750848,1229216
West Virginia,2008,303857,397466
Wisconsin,2008,1677211,1262393
Wyoming,2008,82868,164958
Alabama,2012,795696,1255925
Alaska,2012,122640,164676
Arizona,2012,1025232,1233654
Arkansas,2012,394409,647744
California,2012,7854285,4839958
Colorado,2012,1323102,1185243
Connecticut,2012,905109,634899
DC,2012,267070,21381
Delaware,2012,242584,165484
Florida,2012,4237756,4163447
Georgia,2012,1773827,2078688
Hawaii,2012,306658,121015
Idaho,2012,212787,420911
Illinois,2012,3019512,2135216
Indiana,2012,1154275,1422872
Iowa,2012,822544,730617
Kansas,2012,439908,689809
Kentucky,2012,679370,1087190
Louisiana,2012,809141,1152262
Maine,2012,401306,292276
Maryland,2012,1677844,971869
Massachusetts,2012,1921761,1188460
Michigan,2012,2564569,2115256
Minnesota,2012,1546167,1320225
Mississippi,2012,562949,710746
Missouri,2012,1223796,1482440
Montana,2012,201839,267928
Nebraska,2012,302081,475064
Nevada,2012,531373,463567
New Hampshire,2012,369561,329918
New Jersey,2012,2126610,1478749
New Mexico,2012,415335,335788
New York,2012,4485877,2490496
North Carolina,2012,2178391,2270395
North Dakota,2012,124827,188163
Ohio,2012,2827709,2661437
Oklahoma,2012,443547,891325
Oregon,2012,970488,754175
Pennsylvania,2012,2990274,2680434
Rhode Island,2012,279677,157204
South Carolina,2012,865941,1071645
South Dakota,2012,145039,210610
Tennessee,2012,960709,1462330
Texas,2012,3308124,4569843
Utah,2012,251813,740600
Vermont,2012,199239,92698
Virginia,2012,1971820,1822522
Washington,2012,1755396,1290670
West Virginia,2012,238269,417655
Wisconsin,2012,1620985,1407966
Wyoming,2012,69286,170962
Alabama,2016,729547,1318255
Alaska,2016,116454,163387
Arizona,2016,1161167,1252401
Arkansas,2016,380494,684872
California,2016,8753788,4483810
Colorado,2016,1338870,1202484
Connecticut,2016,897572,673215
DC,2016,282830,12723
Delaware,2016,235603,185127
Florida,2016,4504975,4617886
Georgia,2016,1877963,2089104
Hawaii,2016,266891,128847
Idaho,2016,189765,409055
Illinois,2016,3090729,2146015
Indiana,2016,1033126,1557286
Iowa,2016,653669,800983
Kansas,2016,427005,671018
Kentucky,2016,628854,1202971
Louisiana,2016,780154,1178638
Maine,2016,357735,335593
Maryland,2016,1677928,943169
Massachusetts,2016,1995196,1090893
Michigan,2016,2268839,2279543
Minnesota,2016,1367716,1322951
Mississippi,2016,485131,700714
Missouri,2016,1071068,1594511
Montana,2016,177709,279240
Nebraska,2016,284494,495961
Nevada,2016,539260,512058
New Hampshire,2016,348526,345790
New Jersey,2016,2148278,1601933
New Mexico,2016,385234,319667
New York,2016,4556124,2819534
North Carolina,2016,2189316,2362631
North Dakota,2016,93758,216794
Ohio,2016,2394164,2841005
Oklahoma,2016,420375,949136
Oregon,2016,1002106,782403
Pennsylvania,2016,2926441,2970733
Rhode Island,2016,252525,180543
South Carolina,2016,855373,1155389
South Dakota,2016,117458,227721
Tennessee,2016,870695,1522925
Texas,2016,3877868,4685047
Utah,2016,310676,515231
Vermont,2016,178573,95369
Virginia,2016,1981473,1769443
Washington,2016,1742718,1221747
West Virginia,2016,188794,489371
Wisconsin,2016,1382536,1405284
Wyoming,2016,55973,174419
