state,year,trifecta,redistricting_control,governor_veto
Alabama,2009,None,Legislature,TRUE
Alaska,2009,None,No redistricting,
Arizona,2009,Republican,Legislature,TRUE
Arkansas,2009,Democratic,Legislature,TRUE
California,2009,None,Commission / nonpartisan,
Colorado,2009,Democratic,Legislature,TRUE
Connecticut,2009,None,Legislature,FALSE
Delaware,2009,Democratic,No redistricting,
Florida,2009,Republican,Legislature,TRUE
Georgia,2009,Republican,Legislature,TRUE
Hawaii,2009,None,Commission / nonpartisan,
Idaho,2009,Republican,Commission / nonpartisan,
Illinois,2009,Democratic,Legislature,TRUE
Indiana,2009,None,Legislature,TRUE
Iowa,2009,Democratic,Commission / nonpartisan,
Kansas,2009,None,Legislature,TRUE
Kentucky,2009,None,Legislature,TRUE
Louisiana,2009,None,Legislature,TRUE
Maine,2009,Democratic,Legislature,TRUE
Maryland,2009,Democratic,Legislature,TRUE
Massachusetts,2009,Democratic,Legislature,TRUE
Michigan,2009,None,Legislature,TRUE
Minnesota,2009,None,Legislature,TRUE
Mississippi,2009,None,Legislature,TRUE
Missouri,2009,None,Legislature,TRUE
Montana,2009,None,No redistricting,
Nebraska,2009,,Legislature,TRUE
Nevada,2009,None,Legislature,TRUE
New Hampshire,2009,Democratic,Legislature,TRUE
New Jersey,2009,None,Commission / nonpartisan,
New Mexico,2009,Democratic,Legislature,TRUE
New York,2009,Democratic,Legislature,TRUE
North Carolina,2009,Democratic,Legislature,TRUE
North Dakota,2009,Republican,Legislature,TRUE
Ohio,2009,None,Legislature,TRUE
Oklahoma,2009,None,Legislature,TRUE
Oregon,2009,Democratic,Legislature,TRUE
Pennsylvania,2009,None,Legislature,TRUE
Rhode Island,2009,None,Legislature,TRUE
South Carolina,2009,Republican,Legislature,TRUE
South Dakota,2009,Republican,Legislature,TRUE
Tennessee,2009,None,Legislature,TRUE
Texas,2009,Republican,Legislature,TRUE
Utah,2009,Republican,Legislature,TRUE
Vermont,2009,None,No redistricting,
Virginia,2009,None,Legislature,TRUE
Washington,2009,Democratic,Legislature,TRUE
West Virginia,2009,Democratic,Legislature,TRUE
Wisconsin,2009,Democratic,Legislature,TRUE
Wyoming,2009,None,No redistricting,
Alabama,2010,Republican,Legislature,TRUE
Alaska,2010,None,No redistricting,
Arizona,2010,Republican,Legislature,TRUE
Arkansas,2010,Democratic,Legislature,TRUE
California,2010,Democratic,Commission / nonpartisan,
Colorado,2010,None,Legislature,TRUE
Connecticut,2010,Democratic,Legislature,FALSE
Delaware,2010,Democratic,No redistricting,
Florida,2010,Republican,Legislature,TRUE
Georgia,2010,Republican,Legislature,TRUE
Hawaii,2010,Democratic,Commission / nonpartisan,
Idaho,2010,Republican,Commission / nonpartisan,
Illinois,2010,Democratic,Legislature,TRUE
Indiana,2010,Republican,Legislature,TRUE
Iowa,2010,Democratic,Commission / nonpartisan,
Kansas,2010,Republican,Legislature,TRUE
Kentucky,2010,None,Legislature,TRUE
Louisiana,2010,None,Legislature,TRUE
Maine,2010,Republican,Legislature,TRUE
Maryland,2010,Democratic,Legislature,TRUE
Massachusetts,2010,Democratic,Legislature,TRUE
Michigan,2010,Republican,Legislature,TRUE
Minnesota,2010,None,Legislature,TRUE
Mississippi,2010,None,Legislature,TRUE
Missouri,2010,None,Legislature,TRUE
Montana,2010,None,No redistricting,
Nebraska,2010,,Legislature,TRUE
Nevada,2010,None,Legislature,TRUE
New Hampshire,2010,None,Legislature,TRUE
New Jersey,2010,None,Commission / nonpartisan,
New Mexico,2010,None,Legislature,TRUE
New York,2010,None,Legislature,TRUE
North Carolina,2010,None,Legislature,TRUE
North Dakota,2010,Republican,Legislature,TRUE
Ohio,2010,Republican,Legislature,TRUE
Oklahoma,2010,Republican,Legislature,TRUE
Oregon,2010,None,Legislature,TRUE
Pennsylvania,2010,Republican,Legislature,TRUE
Rhode Island,2010,None,Legislature,TRUE
South Carolina,2010,Republican,Legislature,TRUE
South Dakota,2010,Republican,Legislature,TRUE
Tennessee,2010,Republican,Legislature,TRUE
Texas,2010,Republican,Legislature,TRUE
Utah,2010,Republican,Legislature,TRUE
Vermont,2010,Democratic,No redistricting,
Virginia,2010,None,Legislature,TRUE
Washington,2010,Democratic,Legislature,TRUE
West Virginia,2010,Democratic,Legislature,TRUE
Wisconsin,2010,Republican,Legislature,TRUE
Wyoming,2010,Republican,No redistricting,
Alabama,2011,Republican,Legislature,TRUE
Alaska,2011,None,No redistricting,
Arizona,2011,Republican,Legislature,TRUE
Arkansas,2011,Democratic,Legislature,TRUE
California,2011,Democratic,Commission / nonpartisan,
Colorado,2011,None,Legislature,TRUE
Connecticut,2011,Democratic,Legislature,FALSE
Delaware,2011,Democratic,No redistricting,
Florida,2011,Republican,Legislature,TRUE
Georgia,2011,Republican,Legislature,TRUE
Hawaii,2011,Democratic,Commission / nonpartisan,
Idaho,2011,Republican,Commission / nonpartisan,
Illinois,2011,Democratic,Legislature,TRUE
Indiana,2011,Republican,Legislature,TRUE
Iowa,2011,None,Commission / nonpartisan,
